,nl_query,db
93,"Locate all waterways connecting two bodies of water.
",graph
94,"List all courses enrolled by students in a particular major.
",graph
95,"Retrieve all games connected to a specific gaming tournament.
",graph
96,"Identify the most referenced document in a citation network.
",graph
97,"Fetch all environmental reports linked to a certain policy.
",graph
98,"Get all professional connections of a person within a company LinkedIn network.
",graph
99,"Find all artists whose work was featured at an art exhibition.
",graph
100,"Locate all connections between data nodes in a microservices architecture.
",graph
101,"List all steps in a manufacturing process.
",graph
102,"Retrieve all collaborations between companies in an industry sector.
",graph
103,"Identify all roads with a specific traffic condition in a map database.
",graph
104,"Fetch all research projects funded by a specific grant.
",graph
105,"Find all followers of a prominent figure within an organization.
",graph
106,"Get top-rated reviews for a specific restaurant.
",graph
107,"List all associations between different scientific methods.
",graph
108,"Retrieve all nodes with the least number of connections.
",graph
109,"Identify customer journeys that led to successful purchases.
",graph
110,"Fetch all related legislative bills to a specific act.
",graph
111,"Locate all direct descendants of a specific ancestor in a family tree.
",graph
112,"List all strategic alliances between multinational companies.
",graph
113,"Retrieve all co-authored books in a library database.
",graph
114,"Identify all structural dependencies in a bridge engineering model.
",graph
115,"Find all recipes that share common ingredients with a specific recipe.
",graph
116,"Get all software libraries dependent on a given library.
",graph
117,"Locate all collaboration chains between musicians and producers.
",graph
118,"List all nodes grouped by specific attributes in a cluster.
",graph
119,"Retrieve all tasks assigned to teams under a project manager.
",graph
120,"Find all alternative technologies to a specific solution in a technology network.
",graph
121,"Find all direct friends of John.
",graph
122,"List all employees in the Engineering department.
",graph
123,"Retrieve people who like both Python and JavaScript.
",graph
124,"Show movies directed by Christopher Nolan.
",graph
125,"Identify all cities connected by direct flights to New York.
",graph
126,"Find shortest path between Alice and Bob.
",graph
127,"What projects are managed by Sarah?
",graph
128,"Retrieve all products that are often bought together.
",graph
129,"Who are the authors of books published in 2020?
",graph
130,"List all social media posts tagged with #technology.
",graph
131,"Find all restaurants that serve vegan food.
",graph
132,"Who follows both Elon Musk and Bill Gates on Twitter?
",graph
133,"Retrieve all courses taken by Mathematics majors.
",graph
134,"List all family members of Michael.
",graph
135,"Find all songs by The Beatles.
",graph
136,"What movies star both Brad Pitt and Angelina Jolie?
",graph
137,"List all friends of a friend of John without duplicates.
",graph
138,"Retrieve all blogs written by Jane Doe.
",graph
139,"Which employees report directly to the CEO?
",graph
140,"Find all events occurring in March 2023.
",graph
141,"Who are the collaborators on the project titled ""Apollo""?
",graph
142,"What are the common interests between Emma and Emily?
",graph
143,"Retrieve all devices interacting with server A.
",graph
144,"List all suppliers who provide component X.
",graph
145,"Who are the investors in startup Y?
",graph
146,"Find all patents filed by inventor Z.
",graph
147,"What are the courses prerequisites for Calculus 101?
",graph
148,"List all trains passing through station A.
",graph
149,"Retrieve podcasts featuring Dr. Smith.
",graph
150,"Find users who purchased Product B in the last month.
",graph
151,"What are the top three mutual connections between Alice and Carol?
",graph
152,"List all ingredients used in recipe A.
",graph
153,"Retrieve all articles authored by someone from Harvard.
",graph
154,"How are Alice and David indirectly connected?
",graph
155,"Find companies operating in both Europe and Asia.
",graph
156,"List all works referenced by paper titled ""Quantum Mechanics"".
",graph
157,"Who are the board members of Corporation ABC?
",graph
158,"Retrieve movies with a Rotten Tomatoes score above 90.
",graph
159,"What startups are in the fintech domain?
",graph
160,"Find all followers of influencer X.
",graph
161,"List all books translated into French.
",graph
162,"What are the research areas of professor Y?
",graph
163,"Retrieve all car brands that are German-made.
",graph
164,"List teaching assistants for Psychology 101.
",graph
165,"Who liked both post A and post B on social media?
",graph
166,"Find wine brands originating from Italy.
",graph
167,"List all scenes featuring the main character in Movie Z.
",graph
168,"Retrieve all workshops attended by employee A.
",graph
169,"What firms had a merger in 2022?
",graph
170,"Find all companies founded by the same person.
",graph
171,"List all top-selling items in category B.
",graph
172,"Retrieve all community members active in forum C.
",graph
173,"What books are part of the Sci-Fi genre?
",graph
174,"Find teams participating in the championship.
",graph
175,"List all artworks currently housed in Museum Q.
",graph
176,"Retrieve members of the editorial board for Journal R.
",graph
177,"Who are the top influencers in the fitness industry?
",graph
178,"Find patients with appointments in Clinic T.
",graph
179,"List countries collaborating in space research.
",graph
180,"Retrieve podcasts related to finance.
",graph
181,"What items are in the shopping cart of user X?
",graph
182,"Find all train connections from Berlin.
",graph
183,"List all endangered species.
",graph
184,"What are the active romance writers in the last 5 years?
",graph
185,"Retrieve speakers from TEDx events.
",graph
186,"Find mutual fund portfolios including Energy stocks.
",graph
187,"What are trending topics in the Gaming community?
",graph
188,"List animals featured in National Geographic.
",graph
189,"Retrieve all gym members who enrolled in 2023.
",graph
190,"Who are the political leaders in the European Union?
",graph
191,"Find hospitals conducting research on cancer.
",graph
192,"List startups backed by investor Y.
",graph
193,"What are the prevalent diseases in region A?
",graph
194,"Retrieve all conference proceedings on Artificial Intelligence.
",graph
195,"Find direct business competitors for Brand C.
",graph
196,"List athletes in the Hall of Fame.
",graph
197,"Retrieve all published cookbooks in 2021.
",graph
198,"Who are the members of band Z?
",graph
199,"Find podcasts hosted by a person named Kevin.
",graph
200,"What are the accreditation bodies for universities in Canada?
",graph
201,"List competing brands in the smartphone market.
",graph
202,"Retrieve all episodes of series B.
",graph
203,"What are the differences between Alice's and Bob's playlists?
",graph
204,"List ingredients that are allergens in Menu A.
",graph
205,"Find artists with exhibitions in 2023.
",graph
206,"Retrieve major ports in the Mediterranean Sea.
",graph
207,"Who are the regular contributors to the Open Source project X?
",graph
208,"List software engineers skilled in Go and Rust.
",graph
209,"What are bestselling novels in the 21st century?
",graph
210,"Retrieve university affiliates working on climate change.
",graph
211,"Find historic landmarks within Paris.
",graph
212,"List all events organized by association P.
",graph
213,"What are the credentials of speakers at the upcoming conference?
",graph
214,"Retrieve all trademarks held by Corporation U.
",graph
215,"Find all mentors for the startup accelerator program.
",graph
216,"List cities with the fastest internet connection speeds.
",graph
217,"Retrieve historical figures mentioned alongside Churchill.
",graph
218,"What projects align with the Paris Agreement goals?
",graph
219,"Find computer science graduates employed in Silicon Valley.
",graph
220,"List recipes containing both chocolate and coconut.
",graph
221,"Who attended both conference A and B?
",graph
222,"Retrieve all renewable energy projects in Asia.
",graph
223,"Find members of the Nobel Prize selection committee.
",graph
224,"List known vulnerabilities in software version X.Y.Z.
",graph
225,"What films show Paris during the 1800s?
",graph
226,"Retrieve all feedback for Product O.
",graph
227,"Find customers who churned in Q1 2023.
",graph
228,"List all utilities supplied to building T.
",graph
229,"What are the common travel destinations for Group A?
",graph
230,"Retrieve alumni who donated to the university.
",graph
231,"Find child friendly movies released in the 1990s.
",graph
232,"List destinations accessible by cruise from Miami.
",graph
233,"What are the mandatory vaccinations in country Z?
",graph
234,"Retrieve tech companies with sustainability missions.
",graph
235,"Find job openings in Biotech firms.
",graph
236,"What are the critical dependencies for Project B?
",graph
237,"List technology partners of Corporation H.
",graph
238,"Retrieve brands endorsed by celebrity C.
",graph
239,"Find all women mathematicians in history.
",graph
240,"List joint ventures by companies in 2021.
",graph
241,"What are the core philosophies of movements in the 1960s?
",graph
242,"Retrieve all endorsements authors received in 2022.
",graph
243,"Social Networks
",graph
244,"Who are all the direct friends of John?
",graph
245,"Find mutual friends between Alice and Bob.
",graph
246,"Who has the highest number of connections in the network?
",graph
247,"Suggest potential friends for Charlie based on common interests.
",graph
248,"Which users are influencers in this social network?
",graph
249,"Find the shortest path between Eve and Dave.
",graph
250,"Identify groups of people who frequently interact with each other.
",graph
251,"List all the posts liked by Jane.
",graph
252,"Who are all the friends of Alice from a specific city?
",graph
253,"Find all the users who have joined the platform this month.
",graph
254,"Knowledge Graphs
",graph
255,"What are the direct subcategories of Machine Learning?
",graph
256,"List all the relationships between climate change and renewable energy.
",graph
257,"How are Einstein and quantum physics connected?
",graph
258,"Find all the Nobel laureates in Chemistry.
",graph
259,"What are the components of a healthy diet?
",graph
260,"Identify all the chemical reactions in photosynthesis.
",graph
261,"Trace the lineage of modern computing.
",graph
262,"What are the main factors contributing to global warming?
",graph
263,"How is biodiversity related to ecosystem health?
",graph
264,"What are the fundamental principles of classical mechanics?
",graph
265,"Fraud Detection
",graph
266,"Identify transactions that deviate from typical spending patterns.
",graph
267,"List all connections between flagged accounts.
",graph
268,"How are suspicious entities linked in the network?
",graph
269,"Detect anomalies in recent credit card transactions.
",graph
270,"Which accounts are likely to be involved in money laundering?
",graph
271,"Identify email addresses linked to multiple suspicious accounts.
",graph
272,"What patterns are common among fraudulent transactions?
",graph
273,"How is account A linked to account B through third parties?
",graph
274,"Find all incidents of identity theft in the last year.
",graph
275,"Which IP addresses are frequently associated with breaches?
",graph
276,"Financial Services
",graph
277,"Who are the top investors in the fintech sector?
",graph
278,"Identify all bonds maturing in 2025.
",graph
279,"Trace the ownership history of stock XYZ.
",graph
280,"What are the current interest rates for fixed deposits?
",graph
281,"How are global currencies correlated with each other?
",graph
282,"Identify trends in cryptocurrency trading.
",graph
283,"Which companies have the highest ESG ratings?
",graph
284,"What are the recent mergers in the tech industry?
",graph
285,"Find mutual funds with the best performance last year.
",graph
286,"Who are the key stakeholders in the real estate market?
",graph
287,"Transportation and Logistics
",graph
288,"What is the most efficient route from city A to city B?
",graph
289,"Identify all interconnecting flights from New York to Tokyo.
",graph
290,"Which shipping routes are most prone to delays?
",graph
291,"List all railway stations in the European network.
",graph
292,"How are traffic patterns affected by weather changes?
",graph
293,"Find connections between public transport in London and Paris.
",graph
294,"Identify key logistics hubs in Southeast Asia.
",graph
295,"What are the scheduled maintenance periods for the subway?
",graph
296,"Which cities have the most efficient public transport systems?
",graph
297,"Find all electric vehicle charging stations along Route 66.
",graph
298,"Retail and E-commerce
",graph
299,"List all brand collaborations with retailer X.
",graph
300,"Find customers who frequently buy both product A and B.
",graph
301,"Identify trends in consumer electronics sales.
",graph
302,"What are the most common supply chain issues for apparel?
",graph
303,"Which regions show the highest growth in online shopping?
",graph
304,"Trace product returns for brand Y.
",graph
305,"Identify best-selling products in the last quarter.
",graph
306,"What are the seasonal sales patterns for furniture?
",graph
307,"How does customer engagement relate to product reviews?
",graph
308,"Find all logistics partners for company Z.
",graph
309,"query leverages the graph database's ability to efficiently traverse relationships and provide insights, making them well-suited for applications relying heavily on interconnected data.",graph
310,"Find all direct friends of Alice.
",graph
311,"What are the shortest paths between nodes A and B?
",graph
312,"Show all employees who report directly or indirectly to John.
",graph
313,"Which products are frequently bought together?
",graph
314,"List all mutual friends between Bob and Carol.
",graph
315,"Identify all the managers in the engineering department.
",graph
316,"Find all the movies directed by Christopher Nolan.
",graph
317,"Retrieve all nodes connected to node X with at most two degrees of separation.
",graph
318,"Show all the companies located in New York.
",graph
319,"List all people who have worked at both Company A and Company B.
",graph
320,"What recommendations can be made based on user X's purchase history?
",graph
321,"Find all documents cited by Document Y.
",graph
322,"Locate all airports within a 200-mile radius of Denver.
",graph
323,"List all authors who have published more than three books.
",graph
324,"Find all influencers connected to brand Z within three hops.
",graph
325,"Retrieve all courses that are prerequisites for Course 101.
",graph
326,"Show all friends of friends of Emily.
",graph
327,"Identify all the projects that involve team Y.
",graph
328,"List all cities connected directly by rail to Chicago.
",graph
329,"How are Person A and Person B connected?
",graph
330,"Find all articles co-authored by Jane Smith.
",graph
331,"Locate all victim nodes targeted by hacker X.
",graph
332,"List all products that have been marked as premium.
",graph
333,"Show all communities with relationships stronger than threshold Z.
",graph
334,"Identify all participants in the conference held in 2020.
",graph
335,"What paths exist from Source A to Destination B in three steps?
",graph
336,"Find all suppliers of component X.
",graph
337,"Retrieve nodes that have a higher centrality than average.
",graph
338,"List all patients diagnosed with condition Y.
",graph
339,"Show relationships between social media posts and user Z.
",graph
340,"Find all gig work matches for skill set S in New York City.
",graph
341,"Identify common collaborators between Alice and Bob.
",graph
342,"Find all job postings related to Python programming.
",graph
343,"List all board members of a company.
",graph
344,"Retrieve students enrolled in both Math 101 and Physics 201.
",graph
345,"Show all cities that host annual cultural festivals.
",graph
346,"Find all paths leading to the major node in network N.
",graph
347,"What are the common factors across high-performing teams?
",graph
348,"List all companies with more than 500 employees.
",graph
349,"Identify all services offered by Business B in the last year.
",graph
350,"Show all peers in Doctor X's professional network.
",graph
351,"Find all transactions involving $1000 or more.
",graph
352,"Retrieve all branches of a retail chain in California.
",graph
353,"List all shared interests between user pairs.
",graph
354,"What collaborations exist between departments A and B?
",graph
355,"Show all influencers who have promoted brand X.
",graph
356,"Find frequent routes traveled by cross-country trucks.
",graph
357,"List all books borrowed in the last month.
",graph
358,"Locate every employee who joined after 2015.
",graph
359,"Identify all devices connected to Wi-Fi network Y.
",graph
360,"Show all the students from the state of Texas.
",graph
361,"Find every developer who worked on project Z.
",graph
362,"List all courses taught by Professor Y.
",graph
363,"Retrieve articles related to climate change.
",graph
364,"Locate all data breaches affecting more than 10,000 records.
",graph
365,"Identify projects completed under budget last quarter.
",graph
366,"Show all connections from Node A within three layers.
",graph
367,"List all papers citing Researcher X's work.
",graph
368,"How are city A and city B linked economically?
",graph
369,"Retrieve all government contracts from 2022.
",graph
370,"Find all dependencies of software library L.
",graph
371,"List all constellations visible from the Northern Hemisphere.
",graph
372,"Show key influencers in the fashion industry.
",graph
373,"Identify all characters who appear in both books written by Author Y.
",graph
374,"Locate every task due next week.
",graph
375,"List all network devices with IP addresses in range R.
",graph
376,"Find all children registered for Kindergarten in district D.
",graph
377,"Retrieve all businesses with tax incentives in state Z.
",graph
378,"Identify relationships among top fintech firms.
",graph
379,"Locate every billboard along highway H.
",graph
380,"Show all educational institutions in city C.
",graph
381,"List all chess games won by Grandmaster Y.
",graph
382,"Find every tourist attraction in country X.
",graph
383,"Identify all athletes competing in the Winter Olympics 2022.
",graph
384,"Show all trademarks held by Corporation A.
",graph
385,"List all peer-reviewed journals citing Subject S.
",graph
386,"Locate every registered patent by Inventor I.
",graph
387,"Identify similar products to Item X.
",graph
388,"Retrieve trending conversations in health forums.
",graph
389,"List startup founders from Silicon Valley in 2023.
",graph
390,"Locate infrastructure projects within metropolitan area M.
",graph
391,"Find all guest speakers at Conference 2022.
",graph
392,"Show all teachers with more than 10 years of experience.
",graph
393,"Identify game titles played by over a million users.
",graph
394,"List all properties managed by Realty Company R.
",graph
395,"Find every event attended by Celebrity C.
",graph
396,"Retrieve cross-border trade agreements in region R.
",graph
397,"Show all collaborative university programs.
",graph
398,"List all theaters screening Film F.
",graph
399,"Identify all courses with online modules available.
",graph
400,"Locate all international flights departing daily from JFK.
",graph
401,"List retail outlets with holiday discounts.
",graph
402,"Show all mutual interactions between users X and Y.
",graph
403,"Find every publication authored by Scientist Z in 2021.
",graph
404,"Locate all historical landmarks in City C.
",graph
405,"Find all the direct connections of a specific node.
",graph
406,"List the shortest path between two nodes.
",graph
407,"Identify all nodes connected via a specific type of relationship.
",graph
408,"Discover the longest path between two nodes.
",graph
409,"Retrieve all nodes that are within three hops of a given node.
",graph
410,"List all nodes with no outgoing edges.
",graph
411,"Identify all nodes with no incoming edges.
",graph
412,"Find common neighbors of two nodes.
",graph
413,"List all paths between two nodes.
",graph
414,"Find nodes that form a cycle.
",graph
415,"Retrieve all leaf nodes in the graph.
",graph
416,"Find all nodes connected by a specific sequence of relationships.
",graph
417,"Identify clusters or communities within the graph.
",graph
418,"List nodes that are reachable from a given node.
",graph
419,"Retrieve all nodes that have a specific label.
",graph
420,"Discover all relationships a specific node has.
",graph
421,"List all nodes that share a common parent node.
",graph
422,"Find all nodes with multiple roles or labels.
",graph
423,"Detect all nodes that form a clique or fully connected subgraph.
",graph
424,"Retrieve the degree (number of edges) of a specific node.
",graph
425,"Find all end-nodes (nodes with no children) starting from a specific node.
",graph
426,"Identify all isolated nodes in the graph.
",graph
427,"List the subgraph formed by a set of specific nodes.
",graph
428,"Find the most central node based on degree centrality.
",graph
429,"Identify bridges or critical edges that, if removed, would increase graph fragmentation.
",graph
430,"Retrieve nodes based on property key-value pairs.
",graph
431,"List all nodes that connect two communities.
",graph
432,"Find nodes that are part of at least three distinct paths.
",graph
433,"Discover any paths that include a specific node.
",graph
434,"Identify the root node of a tree structure.
",graph
435,"Find all ancestor nodes of a given node.
",graph
436,"Retrieve all descendant nodes of a given node.
",graph
437,"List all nodes involved in triangular relationships.
",graph
438,"Identify bottleneck nodes or edges that constrain network flow.
",graph
439,"Determine all subgraphs isomorphic to a given graph pattern.
",graph
440,"Find all sibling nodes of a given node.
",graph
441,"List nodes connected to a given node by exactly two types of relationships.
",graph
442,"Identify all paths of a given length.
",graph
443,"Retrieve the densest subgraph.
",graph
444,"Discover all nodes with cyclical relationships.
",graph
445,"Identify all pairs of nodes with more than one shortest path.
",graph
446,"Find all triadic closures in the graph.
",graph
447,"Retrieve the ego-network of a specific node.
",graph
448,"List all hub nodes with a high number of connections.
",graph
449,"Identify each node's clustering coefficient.
",graph
450,"Find nodes that have undergone no changes over a period.
",graph
451,"Retrieve all nodes based on a combination of labels and properties.
",graph
452,"Discover paths that are disjoint from a given path.
",graph
453,"Identify all self-loop nodes.
",graph
454,"Find the graph diameter (longest shortest path in the graph).
",graph
455,"List all nodes with properties that satisfy a range condition.
",graph
456,"Retrieve the graph radius (minimum eccentricity of any node).
",graph
457,"Identify articulation points whose removal increases graph disconnectedness.
",graph
458,"Find nodes connected to a specific node through a specified relationship type and label.
",graph
459,"List all paths from a start node to an end node that don't revisit nodes.
",graph
460,"Discover networks where nodes have a specified minimum degree.
",graph
461,"Identify all ancestor nodes up to a specific depth from a given node.
",graph
462,"Find nodes where a specific sequence of properties holds true.
",graph
463,"Retrieve paths that pass through a given set of nodes.
",graph
464,"List edge-disjoint paths between two nodes.
",graph
465,"Identify all nodes part of cycle paths with length more than four.
",graph
466,"Discover the average path length in the graph.
",graph
467,"Find nodes that form a majority of connections within a specific area of the graph.
",graph
468,"List all isolated subgraphs in a larger graph.
",graph
469,"Retrieve nodes with the highest clustering based on attributes.
",graph
470,"Identify strong components in a directed graph.
",graph
471,"Find weak components where indirect connections exist.
",graph
472,"List minimum cut edges between specified nodes.
",graph
473,"Identify all reachable nodes under certain edge constraints.
",graph
474,"Discover paths that maximize or minimize certain aggregated values.
",graph
475,"Retrieve all acyclic paths starting from a specific node.
",graph
476,"List communities with specific node characteristics.
",graph
477,"Identify pairs of nodes with no direct relationship.
",graph
478,"Find nodes that bridge two otherwise disconnected components.
",graph
479,"Discover all network motifs in a subgraph.
",graph
480,"Retrieve all nodes based on composite property conditions.
",graph
481,"List congruent path structures involving specific nodes.
",graph
482,"Identify shortest paths that satisfy certain constraints.
",graph
483,"Find nodes that evolve their properties over time.
",graph
484,"Retrieve paths that include a set of specified edges.
",graph
485,"List the number of paths between nodes exceeding a given threshold.
",graph
486,"Discover all asymmetric relationships between nodes.
",graph
487,"Identify the reach of influence of a specific node.
",graph
488,"Find nodes with mutual relationships categorized by label.
",graph
489,"Retrieve connections that represent transactional flows exceeding a value.
",graph
490,"Identify all paths that include specific nodes, irrespective of direction.
",graph
491,"Discover symmetry in the graph based on node structures.
",graph
492,"Retrieve all paths traversing a given edge more than once.
",graph
493,"List the top k nodes based on betweenness centrality.
",graph
494,"Find strongly connected components with a specific size.
",graph
495,"Locate boundary nodes transitioning between graph segments.
",graph
496,"Retrieve all paths connecting nodes with specific landmarks.
",graph
497,"List nodes with the greatest degree difference between in-degree and out-degree.
",graph
498,"Identify relationship-heavy areas in the graph.
",graph
499,"Find the shortest cycle in the graph.
",graph
500,"What path exists between node A and node B?
",graph
501,"Which nodes are directly connected to node C?
",graph
502,"What is the shortest path from node D to node E?
",graph
503,"Find all nodes within two hops from node F.
",graph
504,"Who are the mutual friends of person X and person Y?
",graph
505,"List all nodes that have a direct relationship with node G.
",graph
506,"How many direct connections does node H have?
",graph
507,"Retrieve all nodes reachable from node I.
",graph
508,"Which nodes form a cycle including node J?
",graph
509,"What is the degree of node K?
",graph
510,"Who are the ancestors of node L?
",graph
511,"Identify the descendants of node M.
",graph
512,"List all leaf nodes in the graph.
",graph
513,"Find the central nodes in the graph.
",graph
514,"Which nodes are part of the cluster containing node N?
",graph
515,"Determine if node O and node P are in the same component.
",graph
516,"What is the density of the graph?
",graph
517,"Who follows both person Q and person R on the network?
",graph
518,"List every pair of nodes with a direct connection.
",graph
519,"How many paths exist between node S and node T?
",graph
520,"What is the longest path from node U to node V?
",graph
521,"Which nodes have no outgoing connections?
",graph
522,"Identify all nodes with no incoming connections.
",graph
523,"List all nodes connected to node W by exactly three hops.
",graph
524,"What nodes are part of the same community as node X?
",graph
525,"Find nodes with the highest connectivity to node Y.
",graph
526,"Which nodes form triads including node Z?
",graph
527,"Determine the betweenness centrality of node A1.
",graph
528,"What is the cluster coefficient of the network?
",graph
529,"Who are the indirect friends of person B1?
",graph
530,"Identify all neighbors of node C1.
",graph
531,"List the hubs in the network.
",graph
532,"Which nodes have similar neighboring profiles to node D1?
",graph
533,"What is the average path length in the graph?
",graph
534,"Find all cross-cluster connections.
",graph
535,"Are there any bridge nodes between node E1 and node F1?
",graph
536,"What is the eigenvector centrality of node G1?
",graph
537,"List all strongly connected components.
",graph
538,"Can node H1 reach node I1 in less than four hops?
",graph
539,"What nodes are structurally equivalent in the graph?
",graph
540,"Identify potential bottlenecks in the network.
",graph
541,"What's the closeness centrality of node J1?
",graph
542,"Which nodes are isolated from the rest of the graph?
",graph
543,"Find nodes involved in feedback loops.
",graph
544,"What is the structural hole score for node K1?
",graph
545,"List all paths with odd length between node L1 and node M1.
",graph
546,"Determine overlapping communities in the network.
",graph
547,"Identify highly influential nodes.
",graph
548,"Locate all articulation points in the graph.
",graph
549,"What is the diameter of the graph?
",graph
550,"Who are the shared connections of person N1 with person O1?
",graph
551,"Which nodes are directly or indirectly connected to node P1?
",graph
552,"Find all disconnected subgraphs.
",graph
553,"Who frequently interacts with node Q1?
",graph
554,"Identify edge-independent paths between R1 and S1.
",graph
555,"Calculate the modularity of identified communities.
",graph
556,"Which relationships exist between node T1 and node U1?
",graph
557,"Determine the strength of ties between node V1 and their neighbors.
",graph
558,"What nodes form the periphery of the graph?
",graph
559,"Analyze the evolution of node W1's connections over time.
",graph
560,"Which nodes are part of a star network?
",graph
561,"List nodes with reciprocal relationships.
",graph
562,"How many triangles exist within the graph?
",graph
563,"Identify the shortest path avoiding node X1.
",graph
564,"Retrieve all loops starting and ending at node Y1.
",graph
565,"What nodes can be directly influenced by node Z1?
",graph
566,"Find all nodes accessible through directed edges from node A2.
",graph
567,"Who have common connections with both node B2 and node C2?
",graph
568,"Discover all potential cliques in the graph.
",graph
569,"What are the load centrality rankings of nodes?
",graph
570,"Which nodes form a bipartite subgraph?
",graph
571,"Who are the top k influencers in the network?
",graph
572,"What's the effect of removing node D2 on graph connectivity?
",graph
573,"Identify all reversible paths between node E2 and node F2.
",graph
574,"Can node G2 be connected to node H2 through peer-to-peer links?
",graph
575,"Which nodes serve as information proxies?
",graph
576,"Detect all transitive relationships starting at node I2.
",graph
577,"Determine the network's robustness metric.
",graph
578,"Locate nodes central to information flow.
",graph
579,"What community does node J2 belong to?
",graph
580,"Find all boundary spanners between two communities.
",graph
581,"What's the clustering tendency of the adjacent nodes?
",graph
582,"Who are the redundant connections in node K2’s network?
",graph
583,"Retrieve all semi-independent subgraphs.
",graph
584,"Detect emerging clusters in real-time.
",graph
585,"Identify backbone connections in the graph.
",graph
586,"What are the hierarchical levels of the nodes?
",graph
