nl_query,db
"What is the average order value for each product category?
",rdbms
"Show a year-over-year comparison of employee headcount by department.
",rdbms
"Find all suppliers who provide more than three different types of products.
",rdbms
"What is the total revenue from each customer segment?
",rdbms
"List all products that have never been sold.
",rdbms
"Which employees have exceeded their sales targets this year?
",rdbms
"Generate a report of monthly sales by product for the past five years.
",rdbms
"Identify underperforming stores based on revenue benchmarks.
",rdbms
"List employee details with their respective departmental head.
",rdbms
"What is the customer lifecycle duration on average?
",rdbms
"Show all transactions that exceed the customer's average transaction value.
",rdbms
"How many orders were placed during each promotional event?
",rdbms
"What are the average delivery times by carrier?
",rdbms
"List the top 10 best-selling products per region.
",rdbms
"Which branches have the highest employee attrition rates?
",rdbms
"Find customers who have referred other customers.
",rdbms
"What is the total number of units sold per product last month?
",rdbms
"List all overdue invoices by vendor.
",rdbms
"Find the top 5 stores based on customer satisfaction ratings.
",rdbms
"Which products have had the most price changes in the past year?
",rdbms
"What is the average tenure of all employees?
",rdbms
"List all active projects and their current status.
",rdbms
"How many unique visitors does each website receive monthly?
",rdbms
"Identify products that yield the highest profit margins.
",rdbms
"Which customer demographics have the highest purchase frequency?
",rdbms
"Determine the average discount rate provided per sales representative.
",rdbms
"List all employees eligible for retirement within the next year.
",rdbms
"What is the customer retention rate for the last fiscal year?
",rdbms
"Show the breakdown of expenses by department for last year.
",rdbms
"What inventory items need restocking based on sales trends?
",rdbms
"List all clients who have active contracts but no recent interactions.
",rdbms
"Find the average response time to customer inquiries.
",rdbms
"What are the projected revenues for next quarter per product line?
",rdbms
"Identify products that typically sell together.
",rdbms
"List departments with the highest overtime hours.
",rdbms
"Which marketing campaigns have led to the most new customer acquisitions?
",rdbms
"What is the breakdown of sales by salesperson?
",rdbms
"List all pending tasks assigned to each employee.
",rdbms
"Find all accounts that have been inactive for over six months.
",rdbms
"Show the most common product returns by reason.
",rdbms
"What are the top 3 best-performing investment portfolios this month?
",rdbms
"List all available positions and their respective hiring managers.
",rdbms
"What is the historical growth trend of the company's revenue?
",rdbms
"Identify discrepancies in financial reporting by department.
",rdbms
"What are the month-end inventory levels for each warehouse?
",rdbms
"Generate a summary of compliance issues detected this year.
",rdbms
"List all vendors with contracts expiring in the next quarter.
",rdbms
"What is the annual training budget consumed by department?
",rdbms
"Show the frequency of customer support call types.
",rdbms
"List the most requested product features by customers.
",rdbms
"What are the trends in customer complaints by type?
",rdbms
"Identify the suppliers with the longest lead times.
",rdbms
"List projects that are over-budget and behind schedule.
",rdbms
"What is the debt-to-equity ratio over the past five years?
",rdbms
"Find average energy consumption per site monthly.
",rdbms
"What is the quarterly variance in marketing expenses?
",rdbms
"List all shareholders and their voting percentages.
",rdbms
"Show a comparison of actual vs. target sales for last month.
",rdbms
"Which cities have the highest number of active customers?
",rdbms
"Find the lifetime value of each customer segment.
",rdbms
"What is the churn rate for different subscription plans?
",rdbms
"List all customer feedback ratings and comments.
",rdbms
"What are the most common job titles among employees?
",rdbms
"Identify the peak production times for each factory.
",rdbms
"List all service requests pending longer than a week.
",rdbms
"What are the most common reasons for product defects?
",rdbms
"Show the year-end bonus distribution by role.
",rdbms
"What are the outcomes of major product launches in the past decade?
",rdbms
"Find the expense reports flagged for audit in the last year.
",rdbms
"List the percentage growth in social media followers by platform.
",rdbms
"What is the current status of portfolio investments?
",rdbms
"Identify the top competitors in each market segment.
",rdbms
"What is the correlation between advertising spend and sales growth?
",rdbms
"List all product lines with declining sales.
",rdbms
"What is the historical attendance trend at company events?
",rdbms
"Find the average number of days to close a sales deal.
",rdbms
"List all Patents set to expire in the next 12 months.
",rdbms
"What is the breakdown of payment methods used by customers?
",rdbms
"Identify stores with the highest theft reports.
",rdbms
"Which new products have outperformed expectations?
",rdbms
"List the most common sources of employee grievances.
",rdbms
"What is the effectiveness of online versus offline campaigns?
",rdbms
"Find projects with the highest risk assessment scores.
",rdbms
"What are the seasonal trends in product demand?
",rdbms
"List the most important datasets used in the last annual report.
",rdbms
"What is the utilization rate of each type of equipment?
",rdbms
"Show the retention rates of scholarship recipients by year.
",rdbms
"What is the percentage of completed training per employee?
",rdbms
"List the demographics of survey respondents.
",rdbms
"What is the overall engagement score of each product line?
",rdbms
"Find the most-utilized services by customer tier.
",rdbms
"List projects completed under budget in the past 5 years.
",rdbms
"What is the timeline for upcoming regulatory changes?
",rdbms
"Identify email campaigns with the highest click-through rates.
",rdbms
"What is the ratio of revenue to employee count over time?
",rdbms
"List the most popular holiday destinations booked by customers.
",rdbms
"What is the average loan application processing time?
",rdbms
"Identify patterns in shipping delays by region.
",rdbms
"What is the compliance rate of safety regulations?
",rdbms
"List all forecasts of market share changes in the industry.
",rdbms
"Which customer reviews are frequently shared on social media?
",rdbms
"What is the average cost per click in digital marketing campaigns?
",rdbms
"List the top 3 customer loyalty rewards redeemed.
",rdbms
"Which branches consistently outperform their quarterly targets?
",rdbms
"What are the most common accidents reported by factory?
",rdbms
"Find areas with the greatest need for infrastructure upgrades.
",rdbms
"What is the demographic breakdown of new hires?
",rdbms
"List the expiration dates of all perishable inventory.
",rdbms
"What is the most popular feature requested by beta testers?
",rdbms
"Identify seasonal hiring needs based on past data.
",rdbms
"What is the discount redemption rate during promotions?
",rdbms
"List the average number of sick days taken per department.
",rdbms
"Find the correlation between customer engagement and sales success.
",rdbms
"What are the prevailing themes in consumer sentiment surveys?
",rdbms
"List the average lifecycle phase of each product line.
",rdbms
"What are the trends in investment returns for this year?
",rdbms
"Identify the top locations for future store openings based on data analysis.
",rdbms
"Retrieve all customers who have made more than three purchases in the last month.
",rdbms
"Find all employees who report to more than one manager.
",rdbms
"Identify products with inventory levels below their reorder point.
",rdbms
"List all orders that were shipped later than their expected shipment date.
",rdbms
"Count the number of unique customers who have made purchases in each city.
",rdbms
"Retrieve the top three best-selling products for each product category.
",rdbms
"Calculate the total revenue generated by each sales representative.
",rdbms
"Find customers who have never returned any items.
",rdbms
"List all suppliers who have supplied more than ten different products.
",rdbms
"Calculate the average order value for each customer.
",rdbms
"Identify all duplicate entries in the customers table based on email address.
",rdbms
"Retrieve the names of employees who have not taken a vacation in the past two years.
",rdbms
"Find all orders that include more than five different items.
",rdbms
"List customers whose names start with the letter 'A' and have made more than five purchases.
",rdbms
"Retrieve the most recent order date for each customer.
",rdbms
"Calculate the total hours worked by each employee in the current month.
",rdbms
"Find all products that have never been sold.
",rdbms
"List all employees who have worked for the company for over ten years.
",rdbms
"Retrieve orders placed by customers from a specific region in the past year.
",rdbms
"Calculate the average time it takes to fulfill an order from placement to delivery.
",rdbms
"Identify which products have been returned the most.
",rdbms
"List all active projects with more than five team members.
",rdbms
"Find all customers who have not made a purchase in the past six months.
",rdbms
"Retrieve supplier names and the total number of products they supply.
",rdbms
"Calculate the average rating for each product based on customer reviews.
",rdbms
"Find the total number of orders placed in each quarter of the year.
",rdbms
"List all departments with more than 15 employees.
",rdbms
"Retrieve the number of employees in each department who hold a manager position.
",rdbms
"Identify customers who have purchased products from every category.
",rdbms
"List all invoices that have been overdue for more than 30 days.
",rdbms
"Calculate the monthly payroll expense for the company.
",rdbms
"Find the average tenure of employees in each department.
",rdbms
"List all products along with the name of their respective supplier.
",rdbms
"Retrieve all customer feedback with a rating lower than three.
",rdbms
"Identify the top three customers based on total purchase value over the last year.
",rdbms
"Calculate the total sales for each store location.
",rdbms
"List all customers who have referred at least two new customers.
",rdbms
"Retrieve the oldest and newest customer accounts.
",rdbms
"Find all orders that include a promotional discount.
",rdbms
"List all products that have been on the market for more than five years.
",rdbms
"Retrieve the most common reasons for product returns.
",rdbms
"Identify all employees who have been promoted within the last year.
",rdbms
"Calculate the number of products sold by each salesperson.
",rdbms
"List the top five most reviewed products.
",rdbms
"Find all contracts set to expire within the next 60 days.
",rdbms
"Retrieve products that have reviews but no ratings.
",rdbms
"Identify customers who made purchases on the same day last year.
",rdbms
"List all partners and their corresponding partnership start dates.
",rdbms
"Retrieve all employees with the same job position in different departments.
",rdbms
"Find the busiest day of the week based on order volume.
",rdbms
"List all new employees hired in the last quarter.
",rdbms
"Calculate the total cost of goods sold for each product category.
",rdbms
"Identify duplicate products based on SKU.
",rdbms
"Retrieve the languages spoken by employees in each department.
",rdbms
"List all foreign suppliers and their contact information.
",rdbms
"Find all pending orders awaiting shipment for over two weeks.
",rdbms
"Calculate the annual growth rate in sales for the company.
",rdbms
"List all seasonal products and their availability dates.
",rdbms
"Identify items in the inventory with zero sales in the past year.
",rdbms
"Retrieve all facilities that are open 24 hours.
",rdbms
"Calculate the total number of service requests received per month.
",rdbms
"Find all products with a price change in the last month.
",rdbms
"List all customers with the same billing and shipping address.
",rdbms
"Retrieve the list of employees with more than one job title.
",rdbms
"Identify all loyalty program members with points expiring soon.
",rdbms
"Calculate the total number of active users per application.
",rdbms
"Find all customer service tickets that took over 48 hours to resolve.
",rdbms
"List all email campaigns sent in the last year and their open rates.
",rdbms
"Retrieve all employees who work in more than one location.
",rdbms
"Identify customer orders that have been partially fulfilled.
",rdbms
"Calculate the average lead time for manufacturing each product.
",rdbms
"List all employees with certifications due for renewal.
",rdbms
"Find all products bundled together with other products.
",rdbms
"Retrieve all invoices issued without a purchase order.
",rdbms
"Identify all customer feedback associated with a specific product launch.
",rdbms
"List the frequency of orders by each customer.
",rdbms
"Calculate the total number of hours each employee has logged for overtime.
",rdbms
"Find all departments with no current manager.
",rdbms
"Retrieve products with complementary accessory recommendations.
",rdbms
"Identify all past employees who later returned to the company.
",rdbms
"List all materials used in the production of each product.
",rdbms
"Calculate the retention rate of customers over the past year.
",rdbms
"Find all vendors with outstanding balances.
",rdbms
"Retrieve all staff members who participate in the company's mentorship program.
",rdbms
"Identify all future-dated reservations and bookings.
",rdbms
"List all ongoing maintenance contracts by service provider.
",rdbms
"Calculate the average customer rating for each service offered.
",rdbms
"Find all users logging in outside of business hours.
",rdbms
"Retrieve data on all previous system outages and their durations.
",rdbms
"Identify all store locations that have added new product lines recently.
",rdbms
"List all current collaborations with external partners.
",rdbms
"Calculate the average number of orders processed by each warehouse.
",rdbms
"Find customer purchase patterns based on seasonality.
",rdbms
"Retrieve employees eligible for bonuses and their criteria met.
",rdbms
"Identify duplicate entries in the vendor database based on tax ID.
",rdbms
"List all recurring monthly expenses.
",rdbms
"Calculate the rate of product adoption after a marketing campaign.
",rdbms
"Find all discrepancies in financial reconciliation for the past quarter.
",rdbms
"Retrieve information on customer subscription renewals.
",rdbms
"Identify key performance indicators (KPIs) met by each team.
",rdbms
"List all past due follow-up actions in the sales pipeline.
",rdbms
"What are the top 10 best-selling products in the last quarter?
",rdbms
"How many customers have placed more than five orders this month?
",rdbms
"List all employees who have not taken any leave in the past year.
",rdbms
"Retrieve all orders that include both product A and product B.
",rdbms
"What is the average salary of employees by department?
",rdbms
"Find the most viewed pages on our website in the last year.
",rdbms
"How many new accounts were created each month for the last 12 months?
",rdbms
"List all suppliers who supply more than 1000 units of any product.
",rdbms
"What percentage of orders were shipped late last year?
",rdbms
"Identify all customers who have unsubscribed from our newsletter.
",rdbms
"Get a count of all transactions in each city.
",rdbms
"Find employees who were promoted more than once in a year.
",rdbms
"Retrieve all products that are out of stock for over a month.
",rdbms
"What is the total revenue from each product category?
",rdbms
"List all customers who have not made a purchase in the last six months.
",rdbms
"How many employees have birthdays in December?
",rdbms
"What are the average delivery times for each courier service?
",rdbms
"Which products have seen a price increase in the last 12 months?
",rdbms
"List the top 5 countries where we have the most orders.
",rdbms
"Retrieve the details of all transactions made by the top 10% of customers.
",rdbms
"Which departments have the highest turnover rate?
",rdbms
"Find all pending invoices older than 90 days.
",rdbms
"List products that have been discontinued.
",rdbms
"What is the ratio of active to inactive users in our database?
",rdbms
"Identify customers who purchased both product A and product C but not product B.
",rdbms
"What are the most common reasons for customer complaints?
",rdbms
"How many products are there in each price range?
",rdbms
"Retrieve all orders placed on weekends.
",rdbms
"Find the average response time to customer service queries by category.
",rdbms
"List employees who have been with the company for over 10 years.
",rdbms
"How many products have been returned in the last 30 days?
",rdbms
"What is the customer lifetime value by customer segment?
",rdbms
"Which sales agent has closed the most deals this quarter?
",rdbms
"Retrieve a list of products with more than one supplier.
",rdbms
"What percentage of customers make repeat purchases?
",rdbms
"Find all orders that were canceled before shipment.
",rdbms
"List all active projects and their current phase.
",rdbms
"How many support tickets were resolved within 24 hours?
",rdbms
"Which products have sold out more than five times this year?
",rdbms
"Retrieve details of all employees who report to a specific manager.
",rdbms
"What is the monthly churn rate over the last year?
",rdbms
"Identify all customers who only use our service during sales.
",rdbms
"List all assets that have been fully depreciated.
",rdbms
"How many support tickets are escalated to level two?
",rdbms
"Find all customers with multiple accounts.
",rdbms
"What is the average age of customers by region?
",rdbms
"Identify the sales channel with the highest growth rate.
",rdbms
"List suppliers who have not delivered in the last 3 months.
",rdbms
"How many backorders do we have currently?
",rdbms
"Retrieve all transaction records for auditing purposes.
",rdbms
"What are the top 5 best-performing marketing campaigns?
",rdbms
"List all part-time employees.
",rdbms
"How many customers have enrolled in our loyalty program?
",rdbms
"Retrieve orders where total exceeds a certain threshold.
",rdbms
"Identify SKUs with the highest profit margin.
",rdbms
"What is the breakdown of energy consumption over the past year?
",rdbms
"List products that have not been sold in over six months.
",rdbms
"Retrieve all purchase orders with discrepancies.
",rdbms
"Find the average cart abandonment rate.
",rdbms
"List high-priority open issues in the system.
",rdbms
"How many refunds were issued last quarter?
",rdbms
"Identify duplicate records in the customer database.
",rdbms
"What is the historical average lead time by supplier?
",rdbms
"List all contractors working on the current project.
",rdbms
"How many new leads were generated by each channel?
",rdbms
"Retrieve all warranties set to expire within the next 3 months.
",rdbms
"Find all transactions exceeding a specified amount.
",rdbms
"What is the gender distribution of employees by department?
",rdbms
"List the upcoming training programs for employees.
",rdbms
"How many outstanding loan applications are there?
",rdbms
"Identify all mismatches in product pricing.
",rdbms
"Retrieve attendance records for the last meeting.
",rdbms
"What is the average length of customer service calls?
",rdbms
"List all orders requiring special handling.
",rdbms
"How many account suspensions occurred in the past year?
",rdbms
"Find all customers based on geographic criteria.
",rdbms
"List inventory levels by warehouse location.
",rdbms
"Retrieve all marketing emails opened by users.
",rdbms
"What is the employee retention rate by role?
",rdbms
"List all pending software patches and updates.
",rdbms
"Identify accounts with suspicious activity.
",rdbms
"How many times was a product added to wishlist but not purchased?
",rdbms
"Retrieve information about cross-border shipments in transit.
",rdbms
"What are the peak hours for customer support requests?
",rdbms
"List all customers with a credit balance.
",rdbms
"How many survey responses were collected in the last campaign?
",rdbms
"Find users who have logged in after a period of inactivity.
",rdbms
"What is the average feedback rating for each product?
",rdbms
"Retrieve all system error logs from a specified date range.
",rdbms
"List users who have accessed confidential reports.
",rdbms
"How many items were procured below the standard cost?
",rdbms
"Identify recurring issues in complaint records.
",rdbms
"What are the busiest seasons for staffing?
",rdbms
"List founders and their current equity percentage.
",rdbms
"How many training sessions were conducted in the last year?
",rdbms
"Retrieve all shareholder meeting minutes from the last decade.
",rdbms
"Find the most frequently purchased accessory items.
",rdbms
"What is the total hours of overtime by department?
",rdbms
"List all scheduled system maintenance windows.
",rdbms
"How many scholarships were awarded last term?
",rdbms
"What are the total sales for each product category in the last year?
",rdbms
"List all customers who have made more than five purchases in the last month.
",rdbms
"Which suppliers provide more than three different products?
",rdbms
"Show the average order value for each customer type.
",rdbms
"Identify all employees who report to more than one manager.
",rdbms
"What are the total revenues generated by each department this quarter?
",rdbms
"Find all products that have never been purchased.
",rdbms
"Which customers have outstanding invoices older than 30 days?
",rdbms
"List all students who have enrolled in more than two courses this semester.
",rdbms
"What is the total number of units sold per region?
",rdbms
"Show all orders where the shipping address is different from the billing address.
",rdbms
"Which products have experienced a price increase in the last six months?
",rdbms
"Find all customers who have purchased both Product A and Product B.
",rdbms
"List employees who have worked on more than three projects simultaneously.
",rdbms
"What are the total hours worked by each employee last month?
",rdbms
"Identify all vendors who have supplied products below a certain price.
",rdbms
"Which employees have birthdays this month?
",rdbms
"List all products that have low inventory levels.
",rdbms
"What is the average grade for each course offered?
",rdbms
"Find all transactions made by VIP customers.
",rdbms
"Show all pairs of employees who share the same role and manager.
",rdbms
"Which students have never missed a class?
",rdbms
"List all discontinued products.
",rdbms
"What are the top-selling products by revenue?
",rdbms
"Identify all projects with a budget over $10,000 and less than 40% spent.
",rdbms
"Show all customers who have not made any purchases in the last year.
",rdbms
"Which courses have the highest enrollment rates?
",rdbms
"List all products that have been returned more than twice.
",rdbms
"What are the most common product categories bought together?
",rdbms
"Find all employees who have been with the company for over 10 years.
",rdbms
"Show all branches with monthly sales growth.
",rdbms
"Which customers have a balance greater than $500 on their accounts?
",rdbms
"List all orders processed by a specific employee.
",rdbms
"Identify suppliers who provide exclusive products.
",rdbms
"What are the total expenses per department last quarter?
",rdbms
"Find all employees who have received multiple bonuses.
",rdbms
"Show all contracts that are up for renewal within the next three months.
",rdbms
"Which students are on the dean's list?
",rdbms
"List employees eligible for promotion based on tenure and performance.
",rdbms
"What are the most popular product bundles?
",rdbms
"Identify the shifts with the highest labor costs.
",rdbms
"Which managers have more than 5 direct reports?
",rdbms
"Find all clients who have multiple accounts with the company.
",rdbms
"Show orders that include foreign products.
",rdbms
"Which students have been awarded scholarships this academic year?
",rdbms
"List all authors with more than three published books.
",rdbms
"What are the current stock levels for each warehouse?
",rdbms
"Identify employees who have not completed safety training.
",rdbms
"Find all suppliers that have been inactive for over a year.
",rdbms
"Show all employees earning above industry average salaries.
",rdbms
"List all invoices paid within seven days of issue.
",rdbms
"What are the total donations received per fundraising event?
",rdbms
"Identify customers subscribing to multiple service plans.
",rdbms
"Find all sales transactions processed during off-peak hours.
",rdbms
"Show all tenants with late rental payments.
",rdbms
"Which service contracts have a gross margin below 20%?
",rdbms
"List all vehicles due for maintenance service.
",rdbms
"What are the projected revenues for each sales region?
",rdbms
"Identify all athletes who have been part of multiple teams.
",rdbms
"Which films have not been screened in the last year?
",rdbms
"List all registered users who have never logged in.
",rdbms
"What are the peak sales periods by weekday?
",rdbms
"Find all courses that have waitlisted students.
",rdbms
"Show all electronic components nearing expiration dates.
",rdbms
